id,original_title,GenList,vote_average,For Genre,vote_count,Scores
10315,Fantastic Mr. Fox,"['Adventure', 'Animation', 'Comedy', 'Family']",7.5,Animation,1206.0,7.0020035824293325
9444,Anastasia,"['Animation', 'Family']",7.4,Animation,1481.0,6.996180613673162
399106,Piper,"['Family', 'Animation']",8.2,Animation,487.0,6.983372285759071
82690,Wreck-It Ralph,"['Family', 'Animation', 'Comedy', 'Adventure']",7.1,Animation,4656.0,6.973651448955619
81,風の谷のナウシカ,"['Adventure', 'Animation', 'Fantasy']",7.7,Animation,808.0,6.972532910776251
11970,Hercules,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Romance']",7.3,Animation,1741.0,6.964407298935219
425,Ice Age,"['Animation', 'Comedy', 'Family', 'Adventure']",7.1,Animation,3954.0,6.953437984317253
149870,風立ちぬ,['Animation'],7.7,Animation,720.0,6.917058817317248
3933,Corpse Bride,"['Romance', 'Fantasy', 'Animation', 'Music']",7.2,Animation,1957.0,6.912875731988333
12429,崖の上のポニョ,"['Animation', 'Family']",7.5,Animation,953.0,6.9111650145523456
14836,Coraline,"['Animation', 'Family']",7.3,Animation,1432.0,6.908834874160828
10144,The Little Mermaid,"['Animation', 'Family']",7.2,Animation,1921.0,6.908486571203442
309809,The Little Prince,"['Adventure', 'Animation', 'Fantasy']",7.6,Animation,771.0,6.886212344551123
16859,魔女の宅急便,"['Animation', 'Adventure', 'Drama', 'Fantasy']",7.6,Animation,768.0,6.884430844579121
93456,Despicable Me 2,"['Animation', 'Comedy', 'Family']",7.0,Animation,4729.0,6.883843865036627
24238,Mary and Max,"['Animation', 'Comedy', 'Drama']",7.8,Animation,596.0,6.880665898236995
110420,おおかみこどもの雨と雪,"['Animation', 'Drama', 'Family', 'Fantasy']",8.0,Animation,483.0,6.872721783188773
11688,The Emperor's New Groove,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.2,Animation,1544.0,6.852925113844339
62211,Monsters University,"['Animation', 'Family']",7.0,Animation,3622.0,6.852141487964523
324849,The Lego Batman Movie,"['Action', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.2,Animation,1473.0,6.840003080851654
856,Who Framed Roger Rabbit,"['Fantasy', 'Animation', 'Comedy', 'Crime', 'Family']",7.2,Animation,1466.0,6.838676776412687
81188,Rise of the Guardians,"['Fantasy', 'Animation', 'Family']",7.1,Animation,1981.0,6.833700155355737
9325,The Jungle Book,"['Family', 'Animation', 'Adventure']",7.1,Animation,1791.0,6.810959943902968
